DATE,SFXRSA
2003-04-01,144.298694340064
2003-05-01,144.374791441592
2003-06-01,144.840311463154
2003-07-01,146.174844227626
2003-08-01,147.795703323582
2003-09-01,149.637020052384
2003-10-01,151.550101574651
2003-11-01,153.730242008763
2003-12-01,155.987253093535
2004-01-01,157.843112615856
2004-02-01,159.95392444786899
2004-03-01,162.212729174987
2004-04-01,164.534524569977
2004-05-01,166.79998170863
2004-06-01,169.835299600378
2004-07-01,172.09445404645803
2004-08-01,174.534458148153
2004-09-01,177.016854064263
2004-10-01,180.047773497268
2004-11-01,183.278190298581
2004-12-01,187.11433549433602
2005-01-01,191.621084979049
2005-02-01,196.01899677593602
2005-03-01,200.468773802249
2005-04-01,202.30767466837398
2005-05-01,204.821142912232
2005-06-01,207.194975918786
2005-07-01,209.30770377687
2005-08-01,210.714945201581
2005-09-01,212.697783122956
2005-10-01,214.12493062744
2005-11-01,215.51468326438302
2005-12-01,216.41375489719601
2006-01-01,217.401877464341
2006-02-01,218.820806076021
2006-03-01,219.29464572086002
2006-04-01,218.82228775425
2006-05-01,218.024302989077
2006-06-01,216.546793137635
2006-07-01,214.984241412854
2006-08-01,214.31005752246298
2006-09-01,213.558569118475
2006-10-01,213.36325803427
2006-11-01,213.268899003532
2006-12-01,213.15966979956002
2007-01-01,214.623514691153
2007-02-01,214.88292182390703
2007-03-01,215.319384819562
2007-04-01,213.53111267610902
2007-05-01,210.77464599819697
2007-06-01,207.96604861627898
2007-07-01,205.56682644775398
2007-08-01,204.516565597462
2007-09-01,203.115626615101
2007-10-01,199.647785714188
2007-11-01,194.696108475653
2007-12-01,189.994202016658
2008-01-01,186.63418330821202
2008-02-01,178.85199658216098
2008-03-01,172.566785201797
2008-04-01,166.736686504087
2008-05-01,162.559128397367
2008-06-01,158.501270897036
2008-07-01,154.104996394088
2008-08-01,148.159001348967
2008-09-01,142.834106530887
2008-10-01,137.586479704153
2008-11-01,134.682590804254
2008-12-01,130.633315598018
2009-01-01,126.65643327006201
2009-02-01,123.973641365558
2009-03-01,121.088785780539
2009-04-01,120.16983178107701
2009-05-01,119.86651769815701
2009-06-01,123.341860687246
2009-07-01,126.15717160118
2009-08-01,129.235544911158
2009-09-01,131.557504697847
2009-10-01,134.028228557692
2009-11-01,136.119889834389
2009-12-01,137.029152413805
2010-01-01,138.495433774656
2010-02-01,139.29765724426701
2010-03-01,140.933513647901
2010-04-01,141.726891041679
2010-05-01,141.388599442911
2010-06-01,140.534456417319
2010-07-01,139.858546223014
2010-08-01,139.173043688748
2010-09-01,138.886003139321
2010-10-01,137.238990309713
2010-11-01,136.991270809641
2010-12-01,136.913676435142
2011-01-01,136.535386539455
2011-02-01,134.744582226246
2011-03-01,133.698175028904
2011-04-01,133.510709626415
2011-05-01,133.19152245275498
2011-06-01,132.547090752939
2011-07-01,131.928155811316
2011-08-01,131.886908831463
2011-09-01,131.007671494501
2011-10-01,131.166665836551
2011-11-01,129.81101186628402
2011-12-01,129.880628270904
2012-01-01,128.638450896452
2012-02-01,129.222073358361
2012-03-01,129.251735799145
2012-04-01,131.119677681926
2012-05-01,133.560676949195
2012-06-01,136.279398481302
2012-07-01,138.27865962183998
2012-08-01,139.318182415027
2012-09-01,141.228887104631
2012-10-01,143.28170818849702
2012-11-01,146.626319734301
2012-12-01,148.885679697915
2013-01-01,151.255269790321
2013-02-01,153.294988726443
2013-03-01,157.211479206116
2013-04-01,161.722146755615
2013-05-01,165.870894161302
2013-06-01,169.447339826649
2013-07-01,172.901793384366
2013-08-01,175.46177147970403
2013-09-01,178.19549964916501
2013-10-01,178.981411709698
2013-11-01,181.015729390969
2013-12-01,182.759443666419
2014-01-01,186.096358028931
2014-02-01,187.354897361105
2014-03-01,189.562429740129
2014-04-01,190.594142402512
2014-05-01,191.590660796145
2014-06-01,192.025925028817
2014-07-01,191.64052004622502
2014-08-01,192.078333416131
2014-09-01,193.516664595747
2014-10-01,196.15606998069
2014-11-01,197.740586381599
2014-12-01,199.961692992078
2015-01-01,200.391445778433
2015-02-01,205.24649137937698
2015-03-01,208.29793585822398
2015-04-01,209.41018820622799
2015-05-01,210.28865858104402
2015-06-01,210.749591154646
2015-07-01,211.864725919914
2015-08-01,213.14645659855
2015-09-01,215.620531794334
2015-10-01,217.883394228799
2015-11-01,219.569066389311
2015-12-01,220.572987723706
2016-01-01,221.333538182698
2016-02-01,223.430378625199
2016-03-01,225.038963514302
2016-04-01,225.19944298655201
2016-05-01,224.09440754030499
2016-06-01,224.843609866946
2016-07-01,225.263807271506
2016-08-01,227.89341987983101
2016-09-01,228.288845870582
2016-10-01,230.362775572136
2016-11-01,231.490590525378
2016-12-01,233.88482445564898
2017-01-01,235.202354438936
2017-02-01,236.950489131361
2017-03-01,235.51869325004398
2017-04-01,235.72453581145302
2017-05-01,237.48332719153302
2017-06-01,239.122190438667
2017-07-01,240.69401714866
2017-08-01,242.084775062846
2017-09-01,244.85156470533101
2017-10-01,248.40876628996298
2017-11-01,252.77322918662702
2017-12-01,255.73885262231602
2018-01-01,259.092677146936
2018-02-01,260.323985125694
2018-03-01,261.315684117962
2018-04-01,260.883786787677
2018-05-01,263.155677846716
2018-06-01,264.776923312675
2018-07-01,266.48459663072003
2018-08-01,267.453360148143
2018-09-01,269.031794111584
2018-10-01,268.24763780189096
2018-11-01,267.116182285116
2018-12-01,264.859484420339
2019-01-01,263.63212208015204
2019-02-01,263.320121679542
2019-03-01,263.685396415531
2019-04-01,264.920083272886
2019-05-01,265.301313125167
2019-06-01,266.606213353879
2019-07-01,266.580044108798
2019-08-01,267.31850838868303
2019-09-01,267.223960838362
2019-10-01,267.678997069267
2019-11-01,268.996260624736
2019-12-01,270.995268517032
2020-01-01,272.02896849549
2020-02-01,272.781923200112
2020-03-01,273.041519256126
2020-04-01,271.53228101732003
2020-05-01,270.863851198283
2020-06-01,270.785412047053
2020-07-01,273.941283523603
2020-08-01,278.91622756704703
2020-09-01,284.555744205725
2020-10-01,289.786597036827
2020-11-01,293.100170718096
2020-12-01,295.999289741146
2021-01-01,299.76462455472
2021-02-01,302.576691054638
2021-03-01,305.849497922527
2021-04-01,311.993582984527
2021-05-01,319.729046944615
2021-06-01,329.888083737496
2021-07-01,333.805480742425
2021-08-01,338.192163220351
2021-09-01,341.16512260785703
2021-10-01,343.860562566837
2021-11-01,346.761871420421
2021-12-01,352.165424398974
2022-01-01,362.79054687441004
2022-02-01,371.441525962527
2022-03-01,378.73320308868796
2022-04-01,382.75052561707395
2022-05-01,385.779710126761
2022-06-01,382.790034634283
2022-07-01,369.49583337184305
2022-08-01,356.89173188481595
2022-09-01,349.15791334515404
2022-10-01,346.07928278971
2022-11-01,341.392979249171
2022-12-01,337.333113464548
2023-01-01,334.65236139820803
2023-02-01,333.773087979634
2023-03-01,336.091577933842
